fiber_number, frd_throughput, flux_throughput, reference_flux_ratio, flux_throughput_corrected, total_throughput
118,0.6450593270998294,0.648839450551501,0.8210714953315281,0.7902350212383343,0.5097484710507193
121,0.6488910194536257,0.6693674938278115,0.8184557961009794,0.817841961675382,0.5306903042634917
122,0.7173283432382461,0.6706547396871425,0.8161039397087474,0.8217761329843438,0.5894833119863919
123,0.7286934052072136,0.6769616456616547,0.8176505533593795,0.8279351648210918,0.603310894544277
124,0.5125304399003286,0.31515201288592115,0.8193451382879975,0.384638900212948,0.19713914472892086
125,0.7183174040088335,0.6717572962689131,0.8140939131212064,0.8251594631059458,0.5927264034315858
126,0.7478950288148069,0.7020167559876029,0.8610527575602392,0.8153005141946715,0.6097592015563507
127,0.7173563517752954,0.6902716584434468,0.860079227784822,0.802567526507153,0.575726912868494
128,0.7437274881578702,0.6986718005710257,0.8439816750345431,0.8278281640918684,0.6156785611063865
129,0.708507559981074,0.6892383140068608,0.8448823985680316,0.8157801786083273,0.5779864238267107
130,0.7058304636417082,0.6875278708655919,0.8400113074510749,0.8184745428627885,0.5777042660677773
131,0.6984273381571021,0.6692000766524119,0.823991693842767,0.8121442020022446,0.5672237132041515
132,0.7178895397288065,0.6689137764101488,0.8084667168959976,0.8273856702207308,0.5939715179729705
133,0.703599954701084,0.6806504026227582,0.8235422079116959,0.8264912181595686,0.5815191836579162
134,0.7448842531599722,0.6796517864594691,0.8246388256571402,0.8241811630902371,0.6139195701369885
135,0.7019249867169136,0.6012562060326403,0.823197984406041,0.7303907655537598,0.5126795284094792
136,0.7193309590087071,0.625556414559152,0.8044955878424244,0.7775759420096149,0.5593344480678751
137,0.7110275316796664,0.6387632061813927,0.7937951900194431,0.8046952340007841,0.572160465985969
139,0.6896663598336655,0.6308129048153105,0.8006209338810153,0.7879045852041874,0.5433912871740261
140,0.6924396606938419,0.665181807230219,0.8253096538554435,0.8059784641107911,0.5580914542154201
